time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-10T01:12:05.885Z,31.6919,-104.3787,10,2.5,ml,20,132,0.107,0.53,us,us7000k7kc,2023-06-10T22:44:07.040Z,"53 km S of Whites City, New Mexico",earthquake,2.44,2.01,0.091,46,reviewed,us,us
2023-06-09T22:46:20.746Z,16.4597,145.7167,144.538,4.5,mb,51,80,1.214,0.47,us,us7000k7jw,2023-06-09T23:51:06.040Z,"",earthquake,11.24,7.31,0.06,82,reviewed,us,us
2023-06-09T22:25:00.902Z,-2.8117,129.2318,10,4.7,mb,43,43,1.827,0.6,us,us7000k7je,2023-06-09T23:29:21.040Z,"61 km NNE of Masohi, Indonesia",earthquake,6.54,1.888,0.104,28,reviewed,us,us
2023-06-09T21:54:34.890Z,19.3776666666667,-155.252,24.32,2.52,ml,42,85,,0.11,hv,hv73447627,2023-06-09T23:36:02.130Z,"Island of Hawaii, Hawaii",earthquake,0.48,0.42,0.122426436443724,13,reviewed,hv,hv
2023-06-09T21:33:05.082Z,-16.7424,-173.9304,92.797,4.8,mb,49,49,4.085,1.06,us,us7000k7j3,2023-06-09T23:47:05.857Z,"88 km S of Hihifo, Tonga",earthquake,7.18,6.878,0.039,203,reviewed,us,us
2023-06-09T21:21:42.546Z,-60.4971,160.3524,10,5.9,mww,63,56,6.063,0.48,us,us7000k7iz,2023-06-10T21:25:29.591Z,"Macquarie Island region",earthquake,6.67,1.706,0.083,14,reviewed,us,us
2023-06-09T21:19:30.029Z,-23.4825,-69.5622,80.404,4.1,mb,21,111,0.773,0.4,us,us7000k7iy,2023-06-09T22:12:36.040Z,"87 km ENE of Antofagasta, Chile",earthquake,3.8,7.701,0.214,6,reviewed,us,us
2023-06-09T21:04:10.267Z,-23.2767,170.6271,10,4.9,mb,30,52,3.005,0.29,us,us7000k7iw,2023-06-10T03:02:23.040Z,"",earthquake,8.21,1.88,0.116,23,reviewed,us,us
2023-06-09T20:53:07.175Z,58.2599,-155.1167,2.9,3.5,ml,,,,0.57,ak,ak0237cy7kho,2023-06-10T18:37:29.040Z,"86 km NNW of Karluk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-06-09T20:53:04.783Z,58.2651,-155.163,5,2.9,ml,,,,0.59,ak,ak0237cy7k8j,2023-06-09T23:24:59.279Z,"Alaska Peninsula",earthquake,,0,,,reviewed,ak,ak
2023-06-09T20:43:28.565Z,-47.315,-12.6376,10,5.7,mww,133,46,16.56,0.7,us,us7000k7id,2023-06-10T20:46:57.868Z,"southern Mid-Atlantic Ridge",earthquake,10.25,1.754,0.065,23,reviewed,us,us
2023-06-09T19:45:01.484Z,12.271,-87.917,35.859,4.4,mb,79,182,0.972,0.66,us,us7000k7ht,2023-06-10T17:55:56.040Z,"72 km SW of Jiquilillo, Nicaragua",earthquake,4.33,12.391,0.069,64,reviewed,us,us
2023-06-09T19:35:15.207Z,21.1174,99.8612,14.854,4.4,mb,53,44,0.304,0.6,us,us7000k7hq,2023-06-10T17:07:24.040Z,"Myanmar",earthquake,5.34,4.547,0.095,37,reviewed,us,us
2023-06-09T19:15:30.930Z,17.9518333333333,-66.965,15.82,2.64,md,7,217,0.08482,0.08,pr,pr71412798,2023-06-09T19:34:15.070Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.52,0.67,0.0734849142211362,4,reviewed,pr,pr
2023-06-09T19:13:41.183Z,36.605,71.0043,209.511,4,mb,50,74,2.591,0.77,us,us7000k7hj,2023-06-10T16:33:58.040Z,"32 km SSE of Jurm, Afghanistan",earthquake,4.99,6.582,0.092,35,reviewed,us,us
2023-06-09T18:28:42.694Z,18.6927,145.2323,579.088,4.3,mb,152,53,3.474,0.61,us,us7000k7hb,2023-06-10T15:48:59.040Z,"",earthquake,10.85,6.858,0.043,156,reviewed,us,us
2023-06-09T17:28:29.030Z,11.9765,-88.0502,42.624,4.4,mb,97,145,1.235,0.77,us,us7000k7gl,2023-06-09T18:51:58.040Z,"107 km SW of Jiquilillo, Nicaragua",earthquake,6.62,4.505,0.058,89,reviewed,us,us
2023-06-09T17:17:29.278Z,-1.2277,98.2117,6.959,4.6,mb,78,108,2.594,0.44,us,us7000k7gk,2023-06-09T18:07:13.040Z,"177 km WNW of Tuapejat, Indonesia",earthquake,4.4,4.833,0.074,61,reviewed,us,us
2023-06-09T15:36:10.568Z,31.4945,-103.996,8.208,2.6,ml,23,63,0.166,0.46,us,us7000k7fs,2023-06-09T15:59:43.040Z,"27 km NW of Toyah, Texas",earthquake,0.97,8.646,0.097,50,reviewed,us,us
2023-06-09T15:26:50.460Z,38.8345,-122.8153333,2.24,2.61,md,87,25,0.01183,0.07,nc,nc73899136,2023-06-09T22:32:13.140Z,"8km W of Cobb, CA",earthquake,0.08,0.13,0.162,102,reviewed,nc,nc
2023-06-09T15:10:24.238Z,63.3211,-151.6609,6.8,2.6,ml,,,,0.72,ak,ak0237cuz849,2023-06-09T16:13:08.040Z,"24 km S of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-09T15:08:45.110Z,36.6783,71.4834,171.403,4,mb,25,70,2.786,0.45,us,us7000k7fk,2023-06-09T16:30:56.040Z,"4 km W of Ashkāsham, Afghanistan",earthquake,5.63,14.123,0.258,4,reviewed,us,us
2023-06-09T14:49:52.662Z,58.5236,-152.9052,53,2.5,ml,,,,0.26,ak,ak0237cum7mq,2023-06-10T06:07:14.040Z,"51 km N of Aleneva, Alaska",earthquake,,1.2,,,automatic,ak,ak
2023-06-09T11:50:55.340Z,18.929,-65.3506666666667,12.66,3.15,md,14,248,0.6216,0.17,pr,pr71412793,2023-06-09T12:57:10.710Z,"69 km N of Culebra, Puerto Rico",earthquake,1.21,1.7,0.0572388837517848,8,reviewed,pr,pr
2023-06-09T11:33:35.761Z,7.1964,-33.9989,10,5.3,mww,65,55,12.788,0.57,us,us7000k7bx,2023-06-09T11:53:52.040Z,"central Mid-Atlantic Ridge",earthquake,10.72,1.87,0.078,16,reviewed,us,us
2023-06-09T11:28:40.240Z,18.298,-68.4425,101,3.74,md,18,185,0.2244,0.12,pr,pr2023160002,2023-06-09T12:06:46.230Z,"19 km ESE of Boca de Yuma, Dominican Republic",earthquake,1.8,1.06,0.14,11,reviewed,pr,pr
2023-06-09T11:21:54.910Z,67.509,-142.5788,0,3.4,ml,,,,0.7,ak,ak0237csnwxv,2023-06-09T11:28:21.040Z,"107 km NNE of Chalkyitsik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-06-09T10:47:57.714Z,2.7093,128.2994,96.643,4.7,mb,38,79,2.138,0.77,us,us7000k7bs,2023-06-09T11:07:05.040Z,"113 km NNE of Tobelo, Indonesia",earthquake,9.27,7.491,0.099,31,reviewed,us,us
2023-06-09T10:34:05.118Z,-2.8138,129.2056,10,4.9,mb,61,63,1.835,0.28,us,us7000k7bn,2023-06-09T10:53:58.040Z,"59 km NNE of Masohi, Indonesia",earthquake,6.46,1.877,0.071,63,reviewed,us,us
2023-06-09T09:24:38.997Z,44.1688,149.4259,53.013,4.6,mb,83,135,4.918,0.54,us,us7000k7bd,2023-06-09T10:39:36.040Z,"169 km SE of Kuril’sk, Russia",earthquake,10.47,7.284,0.042,171,reviewed,us,us
2023-06-09T08:35:26.813Z,-10.889,162.5666,46.809,4.3,mb,20,148,2.954,0.87,us,us7000k7b9,2023-06-09T09:22:14.040Z,"",earthquake,12.29,8.034,0.138,15,reviewed,us,us
2023-06-09T08:03:43.550Z,51.9566,177.7558,4.8,3.5,ml,,,,0.62,ak,ak0237cqrqf9,2023-06-09T16:59:00.508Z,"",earthquake,,0.6,,,reviewed,ak,ak
2023-06-09T06:43:11.090Z,19.6926,-65.6526,33,3.81,md,13,274,1.4336,0.27,pr,pr2023160001,2023-06-09T07:11:27.420Z,"141 km N of Suárez, Puerto Rico",earthquake,1.76,18.23,0.07,4,reviewed,pr,pr
2023-06-09T06:40:12.840Z,17.95,-66.9778333333333,9.99,3.07,md,10,213,0.06608,0.1,pr,pr71412743,2023-06-09T10:15:36.936Z,"7 km WSW of Fuig, Puerto Rico",earthquake,0.51,0.77,0.243240291458832,11,reviewed,pr,pr
2023-06-09T06:36:05.710Z,19.0641666666667,-66.457,37.18,3.38,md,16,259,0.588,0.27,pr,pr71412733,2023-06-09T07:25:37.680Z,"66 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.23,5.07,0.0231130035327411,5,reviewed,pr,pr
2023-06-09T06:09:07.878Z,-13.2265,66.2255,10,4.9,mb,56,82,26.477,0.42,us,us7000k7ax,2023-06-09T06:36:39.040Z,"Mid-Indian Ridge",earthquake,12.59,1.863,0.083,46,reviewed,us,us
2023-06-09T04:43:54.873Z,37.9463,73.3731,10,4.2,mb,20,124,2.899,0.94,us,us7000k7aj,2023-06-09T05:30:01.040Z,"57 km WSW of Murghob, Tajikistan",earthquake,3.47,1.966,0.2,7,reviewed,us,us
2023-06-09T04:21:26.610Z,19.6645,-65.7121,81,3.71,md,16,272,1.4055,0.43,pr,pr2023160000,2023-06-09T06:04:41.713Z,"137 km N of Suárez, Puerto Rico",earthquake,4.57,10.86,0.08,5,reviewed,pr,pr
2023-06-09T03:21:44.159Z,-23.5801,-67.0339,216.705,4.3,mb,17,89,1.225,0.77,us,us7000k7ac,2023-06-09T03:59:16.040Z,"",earthquake,11.42,4.718,0.239,7,reviewed,us,us
